year,governorate,production_tonnes,stage1_T014_ha,palm_fraction,palm_area_ha,yield_t_per_ha
2002,Kebili,61000.0,16123.716380469948,1.0,16123.716380469948,3.783246899200423
2003,Kebili,58050.0,15780.599766999272,1.0,15780.599766999272,3.6785674091675147
2004,Kebili,65030.0,17398.21321642595,1.0,17398.21321642595,3.7377401455572503
2005,Kebili,58000.0,16460.253891174198,1.0,16460.253891174198,3.5236394519466643
2006,Kebili,69000.0,18381.807202125223,1.0,18381.807202125223,3.7537114409524723
2007,Kebili,67290.0,19159.37478254488,1.0,19159.37478254488,3.512118780687168
2008,Kebili,78000.0,13677.091946987855,1.0,13677.091946987855,5.702966705373226
2009,Kebili,91000.0,22994.412562717072,1.0,22994.412562717072,3.9574831386450184
2010,Kebili,97000.0,21935.748582783683,1.0,21935.748582783683,4.422005459897122
2011,Kebili,112000.0,22025.27084232302,1.0,22025.27084232302,5.085068002196121
2012,Kebili,115000.0,22078.4225076293,1.0,22078.4225076293,5.208705466174552
2013,Kebili,114000.0,24588.24819279539,1.0,24588.24819279539,4.636361204187096
2014,Kebili,135000.0,22052.44075336241,1.0,22052.44075336241,6.121771349931689
2015,Kebili,150000.0,25325.82701687048,1.0,25325.82701687048,5.922807571104367
2016,Kebili,159990.0,23757.243485253835,1.0,23757.243485253835,6.734367145721518
2017,Kebili,200000.0,23218.543036030173,1.0,23218.543036030173,8.613804909707001
2018,Kebili,194000.0,26019.419136079217,1.0,26019.419136079217,7.455969673473396
2019,Kebili,240000.0,32039.14384326322,1.0,32039.14384326322,7.490836870488477
2020,Kebili,224000.0,29397.57838212029,1.0,29397.57838212029,7.619675236115285
2021,Kebili,250000.0,24947.32233682177,1.0,24947.32233682177,10.02111555800138
2022,Kebili,265000.0,31738.435403428288,1.0,31738.435403428288,8.349497907870264
2023,Kebili,250000.0,30927.10296772561,1.0,30927.10296772561,8.083524676103378
2024,Kebili,285000.0,40113.67951701648,1.0,40113.67951701648,7.104808220824051
2002,Tozeur,37000.0,7782.470340813994,1.0,7782.470340813994,4.754274462950288
2003,Tozeur,36500.0,7709.084303260162,1.0,7709.084303260162,4.734673868407976
2004,Tozeur,38000.0,8793.881002836986,1.0,8793.881002836986,4.321186514548111
2005,Tozeur,33600.0,8704.103456944651,1.0,8704.103456944651,3.860248234204055
2006,Tozeur,38000.0,9707.666258250492,1.0,9707.666258250492,3.914432057004845
2007,Tozeur,32750.0,9683.444094887887,1.0,9683.444094887887,3.3820611426144835
2008,Tozeur,38500.0,8532.648781926127,1.0,8532.648781926127,4.5120807130314295
2009,Tozeur,41000.0,11272.69860358281,1.0,11272.69860358281,3.637106024192729
2010,Tozeur,44000.0,10254.20767990256,1.0,10254.20767990256,4.2909214805778255
2011,Tozeur,44500.0,6090.169114979056,1.0,6090.169114979056,7.3068578490784715
2012,Tozeur,42500.0,9844.322662469458,1.0,9844.322662469458,4.31720916280276
2013,Tozeur,47500.0,10190.857073087996,1.0,10190.857073087996,4.661040740669197
2014,Tozeur,51850.0,8050.473784282682,1.0,8050.473784282682,6.440614725213961
2015,Tozeur,51090.0,9860.357145282436,1.0,9860.357145282436,5.181353905060464
2016,Tozeur,48500.0,7588.840902986988,1.0,7588.840902986988,6.390962812372344
2017,Tozeur,58240.0,9474.953640128651,1.0,9474.953640128651,6.146731922079274
2018,Tozeur,50504.0,8534.766203598585,1.0,8534.766203598585,5.917443875463815
2019,Tozeur,56069.0,10161.137424937671,1.0,10161.137424937671,5.5179846168003115
2020,Tozeur,66000.0,8724.87285234964,1.0,8724.87285234964,7.564580151128044
2021,Tozeur,57900.0,5830.287404949712,1.0,5830.287404949712,9.930899795925137
2022,Tozeur,66662.0,6687.349795297565,1.0,6687.349795297565,9.968373427523655
2023,Tozeur,56459.99999999999,7780.84868055822,1.0,7780.84868055822,7.256277858362026
2024,Tozeur,69170.0,10387.260010538092,1.0,10387.260010538092,6.6591189524307275
