governorate,elevation_mean_m,elevation_std_m,elevation_min_m,elevation_max_m,clay_pct,sand_pct,soc_g_kg
Gabes,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411305
Gafsa,361.5536994581168,188.02506547644188,8,1153,198.30446622571193,497.3103873369272,91.44216705240756
Kebili,107.90726021774876,82.33729837696353,-30,618,238.21395467260362,426.1529344603754,82.76251214964935
Tozeur,46.488534220731445,104.29019544026286,-57,860,242.2664768143364,451.85356936370107,125.42576767215725
