governorate,year,month,NDVI_mean,NDVI_max,NDVI_std,image_count
Gabes,2002,1,0.11204008521837469,0.11523059191752133,0.00319050669914741,2
Gabes,2002,2,0.11248927303699649,0.11538780554753189,0.0028985325105358767,2
Gabes,2002,3,0.10924364480159536,0.11318764339478121,0.003943998593185737,2
Gabes,2002,4,0.10816716036590003,0.11085122487349731,0.0026840645075971318,2
Gabes,2002,5,0.10355748652238035,0.1061349373219457,0.002577450799565551,2
Gabes,2002,6,0.10307799837306761,0.105739641422391,0.002661643049323467,2
Gabes,2002,7,0.10271653289426454,0.105542363227851,0.0028258303335863596,2
Gabes,2002,8,0.1030100683391114,0.10547574161638733,0.002465673277275852,2
Gabes,2002,9,0.10619890951049012,0.1089297597038492,0.0027308501933593007,2
Gabes,2002,10,0.10675950303089886,0.10675950303089886,0.0,1
Gabes,2002,11,0.11328663882735555,0.1173254031030145,0.004038764275658787,2
Gabes,2002,12,0.1144077179615452,0.11869025352357739,0.0042825355620323665,2
Gabes,2003,1,0.11421617078605155,0.11772997821477772,0.003513807428726072,2
Gabes,2003,2,0.11602640538348917,0.11942172367200661,0.003395318288517342,2
Gabes,2003,3,0.12444765876183558,0.1291757532718078,0.004728094509973568,2
Gabes,2003,4,0.12916574731253905,0.13332617286055837,0.004160425548019329,2
Gabes,2003,5,0.11992274677915582,0.12416498975976803,0.004242242980612251,2
Gabes,2003,6,0.11565316970030234,0.11850790261973566,0.002854732919432963,2
Gabes,2003,7,0.11165481491712047,0.11374448744690273,0.0020896725297814456,2
Gabes,2003,8,0.11178529064392984,0.11446940970734439,0.0026841190634142808,2
Gabes,2003,9,0.11235784046750977,0.11664915541341468,0.004291314945904748,2
Gabes,2003,10,0.12183379555387733,0.12183379555387733,0.0,1
Gabes,2003,11,0.12407663478386467,0.12763076992008113,0.0035541351362168294,2
Gabes,2003,12,0.12991154199682012,0.1365791754411534,0.006667633444333036,2
Gabes,2004,1,0.1452508681121272,0.1561150739313593,0.010864205819231266,2
Gabes,2004,2,0.15178898195338061,0.15731614103559058,0.005527159082209021,2
Gabes,2004,3,0.1675548424775013,0.17354371874117824,0.005988876263675263,2
Gabes,2004,4,0.16112831633396554,0.16589001444659818,0.0047616981126329064,2
Gabes,2004,5,0.13479254272767136,0.138161191193852,0.0033686484661800044,2
Gabes,2004,6,0.12974360993213527,0.1324278766561056,0.0026842667239709173,2
Gabes,2004,7,0.1256683824997596,0.12754587827247524,0.0018774957727153952,2
Gabes,2004,8,0.12253650381606347,0.12532982262754802,0.0027933188114849976,2
Gabes,2004,9,0.12345303249865482,0.1256252244253036,0.00217219192664908,2
Gabes,2004,10,0.12172128805341474,0.12589858363410072,0.004177295580686074,2
Gabes,2004,11,0.12078566031497466,0.12078566031497466,0.0,1
Gabes,2004,12,0.12201199139468218,0.1257143271021409,0.003702335707459196,2
Gabes,2005,1,0.12411955268803918,0.1273965901418839,0.003277037453845028,2
Gabes,2005,2,0.11928867477363889,0.12162898751588852,0.0023403127422499262,2
Gabes,2005,3,0.11513094182947199,0.11884403118796719,0.0037130893584959163,2
Gabes,2005,4,0.11238712515459286,0.11457236352658243,0.002185238371989238,2
Gabes,2005,5,0.11111141127979833,0.11327300343657554,0.002161592156777441,2
Gabes,2005,6,0.11040799926484351,0.11319453922212662,0.0027865399572826553,2
Gabes,2005,7,0.1068791977440701,0.10864733499214808,0.0017681372480783627,2
Gabes,2005,8,0.10753791465658619,0.11031715046349667,0.0027792358069105485,2
Gabes,2005,9,0.1201697620336066,0.13079550607009213,0.010625744036484912,2
Gabes,2005,10,0.11929321869551371,0.11929321869551371,0.0,1
Gabes,2005,11,0.12033622295082215,0.124509445200402,0.004173222249579765,2
Gabes,2005,12,0.1412618775369755,0.1462507509947791,0.004988873457803743,2
Gabes,2006,1,0.14663181361321712,0.15856253328552955,0.011930719672313779,2
Gabes,2006,2,0.16342410686586412,0.1709861731997326,0.00756206633386747,2
Gabes,2006,3,0.1760787224106785,0.1812272672422116,0.005148544831534224,2
Gabes,2006,4,0.1513647727569323,0.16137314017302823,0.01000836741609591,2
Gabes,2006,5,0.13103249385014565,0.134033643606435,0.0030011497562895495,2
Gabes,2006,6,0.12616946233518783,0.12895506801285897,0.00278560567767082,2
Gabes,2006,7,0.12643333162952805,0.12982425890995866,0.0033909272804309967,2
Gabes,2006,8,0.12086208475708063,0.12333408662326802,0.002472001866187016,2
Gabes,2006,9,0.12417384052189903,0.12658786316205245,0.002414022640153616,2
Gabes,2006,10,0.12523768398676113,0.12523768398676113,0.0,1
Gabes,2006,11,0.14104846583227312,0.14770714983582894,0.006658684003556611,2
Gabes,2006,12,0.16436488835943425,0.17366378228523813,0.009298893925803235,2
Gabes,2007,1,0.18038534064961678,0.1860241910232255,0.0056388503736081825,2
Gabes,2007,2,0.18432182189676136,0.19066782098151103,0.006345999084749346,2
Gabes,2007,3,0.18910518224745923,0.19987700064996636,0.010771818402508022,2
Gabes,2007,4,0.17267749919523262,0.18186078758482555,0.009183288389594556,2
Gabes,2007,5,0.15731853639438376,0.16222247088123007,0.004903934486846212,2
Gabes,2007,6,0.14457581327515567,0.1486615158370052,0.004085702561849343,2
Gabes,2007,7,0.14001735632658824,0.14256980528886934,0.0025524489622802057,2
Gabes,2007,8,0.1367451501850938,0.13962200145291287,0.0028768512678188285,2
Gabes,2007,9,0.1345743135890169,0.13704515372117262,0.002470840132155768,2
Gabes,2007,10,0.13461230140430827,0.13461230140430827,0.0,1
Gabes,2007,11,0.13773064006313007,0.1412007943910197,0.0034701543278889265,2
Gabes,2007,12,0.13836920899371194,0.1422672200698974,0.0038980110761848595,2
Gabes,2008,1,0.15759693967793503,0.16669635848188216,0.009099418803946713,2
Gabes,2008,2,0.15125084396968683,0.15480500030451744,0.0035541563348298446,2
Gabes,2008,3,0.1495834447668789,0.15471865876061275,0.005135213993733361,2
Gabes,2008,4,0.13445175893441694,0.13823128893548256,0.003779530001065746,2
Gabes,2008,5,0.12045163635414535,0.12710090541710356,0.00664926906295806,2
Gabes,2008,6,0.12198395281461451,0.1250685846341901,0.003084631819575811,2
Gabes,2008,7,0.11822515119970169,0.12115911872422762,0.002933967524527189,2
Gabes,2008,8,0.12016807827097754,0.12212573314331518,0.0019576548723383527,2
Gabes,2008,9,0.11912675334844221,0.12314192985127191,0.004015176502829678,2
Gabes,2008,10,0.11801409107221672,0.12115510647784591,0.0031410154056294493,2
Gabes,2008,11,0.1244567194625941,0.1244567194625941,0.0,1
Gabes,2008,12,0.13060467199690282,0.1377568064258638,0.007152134428960746,2
Gabes,2009,1,0.13634821620523435,0.14542680581759435,0.009078589612359038,2
Gabes,2009,2,0.13581134063783376,0.1422853937729343,0.006474053135099784,2
Gabes,2009,3,0.1433237370417718,0.14741362450186543,0.004089887460093776,2
Gabes,2009,4,0.14544978965487443,0.15043593924068674,0.004986149585813043,2
Gabes,2009,5,0.13461535030043423,0.14032002730941356,0.005704677008979722,2
Gabes,2009,6,0.12518073024782977,0.12767437007250687,0.00249363982467648,2
Gabes,2009,7,0.12273720895279597,0.1245116189628527,0.0017744100100575949,2
Gabes,2009,8,0.12112243081821912,0.12318389466838615,0.002061463850167701,2
Gabes,2009,9,0.12349444185857293,0.12772451930710405,0.004230077448531156,2
Gabes,2009,10,0.12289123412937503,0.12289123412937503,0.0,1
Gabes,2009,11,0.12140599364734612,0.12475918617991136,0.003353192532564819,2
Gabes,2009,12,0.12096715773937093,0.12396221511903278,0.0029950573796627407,2
Gabes,2010,1,0.1195150645285199,0.12326052591168032,0.003745461383159764,2
Gabes,2010,2,0.11858273970737568,0.12145672708416903,0.0028739873767935006,2
Gabes,2010,3,0.11847850629947825,0.1211552337025485,0.002676727403069642,2
Gabes,2010,4,0.1163846884576984,0.12027494924536897,0.0038902607876701596,2
Gabes,2010,5,0.11563072549791534,0.11807719201247625,0.002446466514560652,2
Gabes,2010,6,0.11418926167577449,0.11653062308354485,0.002341361407770334,2
Gabes,2010,7,0.11183763638380567,0.11337377981084601,0.0015361434270401745,2
Gabes,2010,8,0.10771460717658604,0.11034518577454717,0.002630578597961282,2
Gabes,2010,9,0.11005591939184936,0.11249442903285399,0.002438509641004393,2
Gabes,2010,10,0.11570899234646685,0.11570899234646685,0.0,1
Gabes,2010,11,0.12347125364210806,0.12948725120780097,0.006015997565692775,2
Gabes,2010,12,0.13711052167798182,0.14196729077659923,0.004856769098616784,2
Gabes,2011,1,0.1432029765009763,0.14834309619098582,0.005140119690009316,2
Gabes,2011,2,0.14092555191280606,0.14501800902831374,0.004092457115508112,2
Gabes,2011,3,0.14138677522551032,0.1455720204682129,0.004185245242702184,2
Gabes,2011,4,0.1252460563388242,0.1338395888623877,0.00859353252356294,2
Gabes,2011,5,0.11816779198028858,0.1206271173228245,0.002459325342535795,2
Gabes,2011,6,0.11518686176078397,0.116791747233889,0.0016048854731044362,2
Gabes,2011,7,0.11254069157867796,0.11414545716343984,0.0016047655847612583,2
Gabes,2011,8,0.113167563362103,0.11560056738026739,0.002433004018164182,2
Gabes,2011,9,0.11608627569283769,0.12208147971086233,0.005995204018024679,2
Gabes,2011,10,0.12249688232123264,0.12249688232123264,0.0,1
Gabes,2011,11,0.13841407312301876,0.1428995320624453,0.004485458939425577,2
Gabes,2011,12,0.14934531664952008,0.15381935389012336,0.004474037240602282,2
Gabes,2012,1,0.14728505916207346,0.15368319684004855,0.006398137677975625,2
Gabes,2012,2,0.14428096704592208,0.15036210252718268,0.006081135481260747,2
Gabes,2012,3,0.16380672083051978,0.17157981780168255,0.007773096971162902,2
Gabes,2012,4,0.16203158126092235,0.16977315629688536,0.007741575035964179,2
Gabes,2012,5,0.1403497733803846,0.14466959012278635,0.004319816742402246,2
Gabes,2012,6,0.13031711223130574,0.13278156964963556,0.0024644574183293314,2
Gabes,2012,7,0.12613505332048536,0.12803216255190075,0.001897109231415012,2
Gabes,2012,8,0.12639440860977372,0.12846753107777842,0.0020731224680044236,2
Gabes,2012,9,0.12603010538788842,0.12819692083967502,0.00216681545178639,2
Gabes,2012,10,0.12305219305152305,0.12665852146723142,0.0036063284157080325,2
Gabes,2012,11,0.12851595053725937,0.12851595053725937,0.0,1
Gabes,2012,12,0.12555604422517763,0.12864294297716977,0.003086898751990708,2
Gabes,2013,1,0.12223265713428122,0.12523951797218616,0.0030068608379044447,2
Gabes,2013,2,0.12188386060118311,0.12449982921524223,0.002615968614059503,2
Gabes,2013,3,0.11953906122418792,0.12352927151390201,0.003990210289714412,2
Gabes,2013,4,0.11396667396023194,0.11834824815232114,0.004381574192089013,2
Gabes,2013,5,0.10912192794107985,0.11148355471300557,0.0023616267719255082,2
Gabes,2013,6,0.10880657195803843,0.11055564639018915,0.0017490744321506093,2
Gabes,2013,7,0.10900986860163801,0.11162404264639449,0.0026141740447561575,2
Gabes,2013,8,0.10650118110082091,0.1120228554960562,0.005521674395235822,2
Gabes,2013,9,0.11343646336667766,0.11673106746196739,0.0032946040952899673,2
Gabes,2013,10,0.11485212168931232,0.11485212168931232,0.0,1
Gabes,2013,11,0.11536658268122055,0.11840485833763564,0.00303827565641548,2
Gabes,2013,12,0.11831998872458109,0.12432632866801312,0.0060063399434314895,2
Gabes,2014,1,0.11415163605849536,0.1181362068342998,0.003984570775804827,2
Gabes,2014,2,0.1228185355337113,0.13179194742339204,0.008973411889680623,2
Gabes,2014,3,0.11865011712423765,0.12263830251852964,0.003988185394292184,2
Gabes,2014,4,0.12121063194339926,0.12524392091234998,0.004033288968951208,2
Gabes,2014,5,0.11334663573868041,0.1169749881785177,0.003628352439836595,2
Gabes,2014,6,0.11185763000783848,0.11530768472391603,0.0034500547160774093,2
Gabes,2014,7,0.11190293253145644,0.11468711253381751,0.0027841800023608904,2
Gabes,2014,8,0.11219370859226346,0.11440126906823539,0.002207560475972356,2
Gabes,2014,9,0.110054422143721,0.11281132974319215,0.002756907599471133,2
Gabes,2014,10,0.11244096238966454,0.11244096238966454,0.0,1
Gabes,2014,11,0.11770935497429386,0.12410811509918664,0.00639876012489252,2
Gabes,2014,12,0.11772869702602312,0.12085934794968405,0.0031306509236611532,2
Gabes,2015,1,0.11666375189173821,0.11973923458692365,0.0030754826951846525,2
Gabes,2015,2,0.11997511815736679,0.12910418571793403,0.009129067560566305,2
Gabes,2015,3,0.12860582734723652,0.13591074678560444,0.007304919438367662,2
Gabes,2015,4,0.133456820618874,0.1388180232444332,0.005361202625558599,2
Gabes,2015,5,0.12188202174584513,0.12568301453348021,0.003800992787635483,2
Gabes,2015,6,0.11491162924134328,0.11701033017226424,0.002098700930920536,2
Gabes,2015,7,0.11588282499083201,0.11803095704692554,0.002148132056093344,2
Gabes,2015,8,0.11434370059661415,0.11732256102627221,0.0029788604296580247,2
Gabes,2015,9,0.11336335020582368,0.11673522529690397,0.003371875091079698,2
Gabes,2015,10,0.12219927648893553,0.12219927648893553,0.0,1
Gabes,2015,11,0.13138433020275575,0.13907443151516138,0.007690101312406694,2
Gabes,2015,12,0.14195212803535093,0.14630278429450028,0.004350656259148845,2
Gabes,2016,1,0.13939022304399332,0.14358871599409984,0.004198492950106358,2
Gabes,2016,2,0.1411567808786771,0.1470931316189567,0.005936350740279103,2
Gabes,2016,3,0.12495075970699258,0.1296117959910053,0.004661036284013141,2
Gabes,2016,4,0.11247480841182654,0.11598522392663033,0.0035104155148030724,2
Gabes,2016,5,0.11386173311188771,0.11741292371443689,0.0035511906025484283,2
Gabes,2016,6,0.10995829001344164,0.11212042713775446,0.00216213712431328,2
Gabes,2016,7,0.10979653978177593,0.11188066180651093,0.0020841220247352276,2
Gabes,2016,8,0.11188933372107504,0.11348766029140676,0.0015983265703316573,2
Gabes,2016,9,0.11079647522132084,0.1146811684823148,0.003884693260994465,2
Gabes,2016,10,0.1199180391372149,0.1250895695428339,0.005171530405618427,2
Gabes,2016,11,0.13002223704743301,0.13002223704743301,0.0,1
Gabes,2016,12,0.14826067357249254,0.16479113732538922,0.01653046375289715,2
Gabes,2017,1,0.15174052687573092,0.15666518973422736,0.004924662858496561,2
Gabes,2017,2,0.1488309639356099,0.16113849038957276,0.012307526453961846,2
Gabes,2017,3,0.1691597254450135,0.17443209997298062,0.005272374527966441,2
Gabes,2017,4,0.15962061231014876,0.16787035228713623,0.008249739976988302,2
Gabes,2017,5,0.13778397354110444,0.14296039000161356,0.00517641646050935,2
Gabes,2017,6,0.12843674840930683,0.13179817847341277,0.003361430064106215,2
Gabes,2017,7,0.1243995532461424,0.1266556095449597,0.002256056298816127,2
Gabes,2017,8,0.12265245473697343,0.12441403955297438,0.0017615848160007963,2
Gabes,2017,9,0.12639257357390407,0.1322444893903852,0.005851915816480785,2
Gabes,2017,10,0.13355426689809777,0.13355426689809777,0.0,1
Gabes,2017,11,0.1528843500144953,0.16037072997617427,0.0074863799616777015,2
Gabes,2017,12,0.1786346356159706,0.19161390821565707,0.012979272599685263,2
Gabes,2018,1,0.1770236247925374,0.18252596439796231,0.005502339605425937,2
Gabes,2018,2,0.1909565776265544,0.20825439565967002,0.017297818033115867,2
Gabes,2018,3,0.17077305596095335,0.17868221999404088,0.007909164033086264,2
Gabes,2018,4,0.14269776764701958,0.148766526972416,0.006068759325395888,2
Gabes,2018,5,0.1331932436823598,0.13758283930902607,0.004389595626665813,2
Gabes,2018,6,0.12612559207060595,0.12876166886850265,0.0026360767978967576,2
Gabes,2018,7,0.1234312378498553,0.12568241974977826,0.0022511818999226166,2
Gabes,2018,8,0.12290646871619183,0.1260723570703673,0.0031658883541749792,2
Gabes,2018,9,0.12707487192292047,0.1329892241249937,0.005914352202073085,2
Gabes,2018,10,0.12840766268024587,0.12840766268024587,0.0,1
Gabes,2018,11,0.1375618204873339,0.1425281978480401,0.004966377360706605,2
Gabes,2018,12,0.14196968721683426,0.14589840598125678,0.003928718764423397,2
Gabes,2019,1,0.138152496779899,0.14202862542472497,0.0038761286448257683,2
Gabes,2019,2,0.13178131158010534,0.1345669007044188,0.002785589124313988,2
Gabes,2019,3,0.13092533025926636,0.1353964479728557,0.0044711177135897135,2
Gabes,2019,4,0.12784263004359586,0.13229931464421027,0.0044566846006143645,2
Gabes,2019,5,0.12541956588786413,0.12941170699877683,0.003992141110912902,2
Gabes,2019,6,0.11616907406819335,0.11907781473359878,0.002908740665404931,2
Gabes,2019,7,0.11326989198011524,0.11542594617449876,0.002156054194383659,2
Gabes,2019,8,0.11519622394910048,0.11888984673421156,0.0036936227851108437,2
Gabes,2019,9,0.1169120898586268,0.12010056081165417,0.0031884709530275277,2
Gabes,2019,10,0.1210328847781844,0.1210328847781844,0.0,1
Gabes,2019,11,0.14018355404220886,0.14591253168494042,0.005728977642731763,2
Gabes,2019,12,0.1474758719833859,0.15274746714714704,0.005271595163760701,2
Gabes,2020,1,0.1565578199405696,0.16733055317875487,0.010772733238183903,2
Gabes,2020,2,0.15504477168849506,0.1590484538311322,0.004003682142638165,2
Gabes,2020,3,0.145777139887317,0.15148259884567714,0.005705458958359753,2
Gabes,2020,4,0.13868160637313517,0.14478699833872527,0.006105391965589532,2
Gabes,2020,5,0.1268577865891192,0.12990607050184777,0.003048283912728524,2
Gabes,2020,6,0.12016949989037913,0.12318308530926121,0.003013585418881611,2
Gabes,2020,7,0.1193421190128283,0.12189513809530275,0.0025530190824735116,2
Gabes,2020,8,0.11918724153486275,0.12172520746594614,0.0025379659310835016,2
Gabes,2020,9,0.12321336254898275,0.1273211137009043,0.004107751151921394,2
Gabes,2020,10,0.12564230876979254,0.12863708613189503,0.002994777362101997,2
Gabes,2020,11,0.13773390528196552,0.13773390528196552,0.0,1
