governorate,year,month,temp_2m_K_mean,temp_2m_K_max,temp_2m_K_std,image_count,precip_m_mean,precip_m_max,precip_m_std,dewpoint_2m_K_mean,dewpoint_2m_K_max,dewpoint_2m_K_std,solar_rad_Jm2_mean,solar_rad_Jm2_max,solar_rad_Jm2_std,wind_u_ms_mean,wind_u_ms_max,wind_u_ms_std,wind_v_ms_mean,wind_v_ms_max,wind_v_ms_std
Gabes,2004,2,286.3325076112449,286.3325076112449,0,1,0.0006288597365163437,0.0006288597365163437,0,276.99974181893555,276.99974181893555,0,461687227.7856301,461687227.7856301,0,1.0644556861724936,1.0644556861724936,0,1.2941187645055052,1.2941187645055052,0
Gabes,2004,3,287.8187689169422,287.8187689169422,0,1,0.033297653600303775,0.033297653600303775,0,280.2651242901147,280.2651242901147,0,594031187.3586235,594031187.3586235,0,-1.4780266390741184,-1.4780266390741184,0,-0.169733511387274,-0.169733511387274,0
Gabes,2004,4,292.0196929509153,292.0196929509153,0,1,0.012461236110399754,0.012461236110399754,0,280.4427861560388,280.4427861560388,0,734316681.4369844,734316681.4369844,0,-0.6659245462167854,-0.6659245462167854,0,-0.1805437403403675,-0.1805437403403675,0
Gabes,2004,5,293.57973214099803,293.57973214099803,0,1,0.008134193875267585,0.008134193875267585,0,282.41056390718103,282.41056390718103,0,821651060.5061212,821651060.5061212,0,-2.9242174248132424,-2.9242174248132424,0,-0.6334660365516902,-0.6334660365516902,0
Gabes,2004,6,298.4296913523625,298.4296913523625,0,1,0.0024544571897255883,0.0024544571897255883,0,285.7280064070003,285.7280064070003,0,832272484.6343286,832272484.6343286,0,-3.2937161397696233,-3.2937161397696233,0,-1.0606454398468632,-1.0606454398468632,0
Gabes,2004,7,301.1449850027006,301.1449850027006,0,1,3.570956040134877e-05,3.570956040134877e-05,0,287.4630732758332,287.4630732758332,0,874994200.728914,874994200.728914,0,-3.7160690451569094,-3.7160690451569094,0,-0.05258226092519434,-0.05258226092519434,0
Gabes,2004,8,302.72631592543644,302.72631592543644,0,1,0.002416822425455355,0.002416822425455355,0,289.8477867994582,289.8477867994582,0,772794619.1837102,772794619.1837102,0,-3.521318864501916,-3.521318864501916,0,-0.16934006461097564,-0.16934006461097564,0
Gabes,2004,9,298.5795579511346,298.5795579511346,0,1,0.0013901921659932,0.0013901921659932,0,286.61255350716567,286.61255350716567,0,627511730.3444968,627511730.3444968,0,-2.110418694696214,-2.110418694696214,0,-0.3466066254723981,-0.3466066254723981,0
Gabes,2004,10,297.3854657281627,297.3854657281627,0,1,0.0014086740357941783,0.0014086740357941783,0,285.6148494210755,285.6148494210755,0,508478543.3231893,508478543.3231893,0,-0.8017210957331063,-0.8017210957331063,0,0.815480167124658,0.815480167124658,0
Gabes,2004,11,288.38276826273847,288.38276826273847,0,1,0.01935245475317419,0.01935245475317419,0,281.8569148951397,281.8569148951397,0,375804897.2321089,375804897.2321089,0,1.4188990807354367,1.4188990807354367,0,0.17876121105568374,0.17876121105568374,0
Gabes,2004,12,285.3143843551144,285.3143843551144,0,1,0.017504058537025188,0.017504058537025188,0,278.177194091253,278.177194091253,0,313474082.6765177,313474082.6765177,0,1.7173601339222238,1.7173601339222238,0,1.0106058171755126,1.0106058171755126,0
Gabes,2005,1,282.2037724368969,282.2037724368969,0,1,0.0022036685058253883,0.0022036685058253883,0,274.0995025114786,274.0995025114786,0,395416850.7914479,395416850.7914479,0,2.7006498660312954,2.7006498660312954,0,0.03053654430036167,0.03053654430036167,0
Gabes,2005,2,283.2085789390575,283.2085789390575,0,1,0.007461340271533895,0.007461340271533895,0,272.5315310352557,272.5315310352557,0,448100196.7586109,448100196.7586109,0,1.6897018373285664,1.6897018373285664,0,0.46280050573890946,0.46280050573890946,0
Gabes,2005,3,288.41307495867187,288.41307495867187,0,1,0.008989270750830943,0.008989270750830943,0,278.02539890883594,278.02539890883594,0,589705257.0174431,589705257.0174431,0,-1.5470238735349517,-1.5470238735349517,0,-0.29807528219260354,-0.29807528219260354,0
