governorate,year,month,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,image_count
Gabes,2016,8,,,,,,,0
Gabes,2016,9,,,,,,,0
Gabes,2016,10,,,,,,,0
Gabes,2016,11,,,,,,,0
Gabes,2016,12,,,,,,,0
Gabes,2017,1,,,,,,,0
Gabes,2017,2,,,,,,,0
Gabes,2017,3,,,,,,,0
Gabes,2017,4,,,,,,,0
Gabes,2017,5,,,,,,,0
Gabes,2017,6,,,,,,,0
Gabes,2017,7,,,,,,,0
Gabes,2017,8,,,,,,,0
Gabes,2017,9,,,,,,,0
Gabes,2017,10,,,,,,,0
Gabes,2017,11,,,,,,,0
Gabes,2017,12,,,,,,,0
Gabes,2018,1,,,,,,,0
Gabes,2018,2,,,,,,,0
Gabes,2018,3,,,,,,,0
Gabes,2018,4,,,,,,,0
Gabes,2018,5,,,,,,,0
Gabes,2018,6,,,,,,,0
Gabes,2018,7,,,,,,,0
Gabes,2018,8,,,,,,,0
Gabes,2018,9,,,,,,,0
Gabes,2018,10,,,,,,,0
Gabes,2018,11,,,,,,,0
Gabes,2018,12,,,,,,,0
Gabes,2019,1,,,,,,,0
Gabes,2019,2,,,,,,,0
Gabes,2019,3,,,,,,,0
Gabes,2019,4,,,,,,,0
Gabes,2019,5,,,,,,,0
Gabes,2019,6,,,,,,,0
Gabes,2019,7,,,,,,,0
Gabes,2019,8,,,,,,,0
Gabes,2019,9,,,,,,,0
Gabes,2019,10,,,,,,,0
Gabes,2019,11,,,,,,,0
Gabes,2019,12,,,,,,,0
Gabes,2020,1,,,,,,,0
Gabes,2020,2,,,,,,,0
Gabes,2020,3,,,,,,,0
Gabes,2020,4,,,,,,,0
Gabes,2020,5,,,,,,,0
Gabes,2020,6,,,,,,,0
Gabes,2020,7,,,,,,,0
Gabes,2020,8,,,,,,,0
Gabes,2020,9,,,,,,,0
Gabes,2020,10,,,,,,,0
Gabes,2020,11,,,,,,,0
Gabes,2020,12,,,,,,,0
Gabes,2021,1,4.507618604958429,4.91252221729376,0.36166058839442955,26.7682311573755,29.517666877436035,1.7544202994679041,4
Gabes,2021,2,4.216922106561221,5.740243737475749,1.109373241735476,31.146895084040395,35.56231852599855,3.9412300903293067,4
Gabes,2021,3,4.607352469304737,6.052241862572082,1.0172495398189771,38.91232859259537,44.69869291531782,6.197110940329041,4
