governorate,year,month,S2_scene_count,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std
Gabes,2021,2,21,0.1287759152111826,-0.29519297260856614,0.0634609458814988,0.05280440202987269
Gabes,2021,3,36,0.12191509030338056,-0.2921613713407103,0.05765916267456728,0.04864982552649912
Gabes,2021,4,16,0.106892189279112,-0.2762348214898767,0.05247923927363126,0.04970146170157414
Gabes,2021,5,28,0.09237836408603727,-0.2617502996593245,0.04367903804520287,0.03988826605591054
Gabes,2021,6,34,0.08577187705436086,-0.25325401361643984,0.03623309058287408,0.03553122639906734
Gabes,2021,7,42,0.0846282963633603,-0.25908885955182615,0.03890246623229714,0.03795381554176286
Gabes,2021,8,38,0.08397244384719213,-0.2581754175673599,0.03853338684056325,0.03903060585312282
Gabes,2021,9,39,0.08051189760827022,-0.25885595359518593,0.041114869161097314,0.0411475103319761
Gabes,2021,10,25,0.08457584202698629,-0.26331738801254534,0.04858881861876148,0.0460715924657886
Gabes,2021,11,25,0.10271238060075619,-0.2864290985431269,0.05455610220990992,0.05029984237875165
Gabes,2021,12,39,0.10339228914707622,-0.2797576234760889,0.051344325383641407,0.05051360540031607
Gabes,2022,1,28,0.11113163605927548,-0.29287947082440363,0.054337306459799395,0.052818834654754516
Gabes,2022,2,14,0.1115126087386002,-0.2921461689178816,0.047535381743542174,0.04524965065428282
Gabes,2022,3,24,0.10068452316164622,-0.27217557992980335,0.04884447572230634,0.04583589781271193
Gabes,2022,4,13,0.09995878777621026,-0.27217140978107035,0.052994411375696104,0.047923361526939816
Gabes,2022,5,24,0.0962990991043881,-0.27218174906514175,0.04329480667893093,0.03938627203132673
Gabes,2022,6,35,0.08536437702564739,-0.2634281946850867,0.04411216350167281,0.041542873537841946
Gabes,2022,7,41,0.08174619513763696,-0.26015394006820847,0.04219882553456574,0.04052038727998376
Gabes,2022,8,42,0.07674770105373072,-0.2559343336464874,0.040980786831765544,0.03976590943782801
Gabes,2022,9,22,0.06723917247084697,-0.25116911482014026,0.04433903009270786,0.044664902612025645
Gabes,2022,10,36,0.0906629783680241,-0.2690989024748165,0.049080516315130385,0.046431542853293636
Gabes,2022,11,29,0.0971731669406701,-0.27694016746979117,0.05220592033196891,0.05048494339246442
Gabes,2022,12,37,0.09808878211271618,-0.2813207626489147,0.05019308304568534,0.048293722009644074
Gabes,2023,1,36,0.10085299876200607,-0.28170687670931066,0.04396809059615668,0.043115146140907105
Gabes,2023,2,24,0.10873200702448636,-0.28914863522531614,0.03997648541771486,0.03911309480416306
Gabes,2023,3,33,0.10602885817161972,-0.2844084560621695,0.046511063764513895,0.0442482775959205
Gabes,2023,4,24,0.10134190265841307,-0.2779449770380848,0.051285084455890834,0.04575418302733818
Gabes,2023,5,17,0.0846037646401207,-0.25666849906982825,0.04354955559305696,0.047618877775082634
Gabes,2023,6,32,0.08259989668770473,-0.25883446537024135,0.043202954157674306,0.041010986610900885
Gabes,2023,7,43,0.08373188346496317,-0.26344260210309645,0.04022501380616483,0.03917180899007354
Gabes,2023,8,38,0.07680991557970043,-0.2546464015314168,0.039684277065135616,0.0381027507905368
Gabes,2023,9,39,0.0828214694944752,-0.2629008955252802,0.04454527912102366,0.04217076727389848
Gabes,2023,10,33,0.08668525530244209,-0.2673315615176853,0.04430961698455265,0.04193713213594452
Gabes,2023,11,31,0.08933948594510331,-0.2682419895790299,0.04692594197018394,0.044706282150970465
Gabes,2023,12,27,0.10106839983067897,-0.2813030103221763,0.05095221624308172,0.04595600832980603
Gabes,2024,1,29,0.10424684434539377,-0.27802675103356495,0.04560818814028756,0.04424555041660726
Gabes,2024,2,24,0.10822536623396968,-0.2866092480117577,0.05138129921587827,0.04540352571234471
Gabes,2024,3,38,0.1094534502138284,-0.28851048831625,0.05224122626725273,0.045807942368816766
Gabes,2024,4,17,0.09416860896608013,-0.2709078733234953,0.04466379378734262,0.040383504921584754
Gabes,2024,5,30,0.10135106258577571,-0.27269718005445237,0.053832042338364125,0.046334377812822014
Gabes,2024,6,39,0.0877496126192637,-0.26272488548105827,0.039743979581465104,0.03674029554880345
Gabes,2024,7,42,0.08374218036227278,-0.2617627172645317,0.042197003284173945,0.03966757160187504
Gabes,2024,8,30,0.08598043914230936,-0.2666668597400999,0.04214874332825631,0.039304267945174665
Gabes,2024,9,23,0.08363141942163299,-0.26623500957876356,0.051442966481381455,0.04768166352792031
Gabes,2024,10,21,0.07752691591152723,-0.2532768378204865,0.04866796300397026,0.04686492005165193
Gabes,2024,11,30,0.11565061868135135,-0.28277293609645743,0.062208741665625296,0.052497597000053624
Gabes,2024,12,26,0.1279416293642297,-0.29661870125925516,0.061148444005068636,0.05298285796404373
Gafsa,2015,1,0,,,,
Gafsa,2015,2,0,,,,
Gafsa,2015,3,0,,,,
Gafsa,2015,4,0,,,,
Gafsa,2015,5,0,,,,
Gafsa,2015,6,0,,,,
Gafsa,2015,7,2,0.10723646401995214,-0.2722058099208924,0.046444201411140605,0.04574439822391188
Gafsa,2015,8,0,,,,
Gafsa,2015,9,0,,,,
Gafsa,2015,10,2,0.1111054169154853,-0.27029575831467434,0.05444410130262196,0.061291019001471624
Gafsa,2015,11,2,0.1351721535142738,-0.3025161597057568,0.046654166651674774,0.04299789206221622
Gafsa,2015,12,8,0.13374642226947495,-0.2973589371302034,0.058771954816263156,0.05512433355944985
Gafsa,2016,1,1,0.09940795188404429,-0.26778847521496585,0.02585020571054323,0.02977782606530517
Gafsa,2016,2,7,0.12437880818650754,-0.2887681924533531,0.04563586271252113,0.04339547852624754
Gafsa,2016,3,10,0.11379697567817751,-0.27825682584248407,0.042405727327159755,0.04115764448918521
Gafsa,2016,4,1,0.12415924692439101,-0.27601148061790687,0.04709303290513185,0.042154159037355254
Gafsa,2016,5,7,0.10630372898750941,-0.25855120512330615,0.03499678298113343,0.03444663303715618
Gafsa,2016,6,7,0.10195023989034557,-0.26242699530254915,0.048389404288339155,0.048853996941651046
Gafsa,2016,7,8,0.09364886872411653,-0.25656139868177646,0.041239989783315605,0.040254399081542436
Gafsa,2016,8,10,0.08958932582647385,-0.25329224872368356,0.02887123234020673,0.03202727753968614
Gafsa,2016,9,1,0.09922536332776302,-0.2688960326409286,0.052334266013621795,0.050652152830204716
Gafsa,2016,10,3,0.10027246139753945,-0.2632644827376171,0.054489029093296025,0.05353390245684744
Gafsa,2016,11,8,0.13004788487087765,-0.2893398691361034,0.06477233911013475,0.05548679409592575
Gafsa,2016,12,7,0.15075437906851274,-0.2973654337456838,0.05753670523295372,0.04702600217123733
Gafsa,2017,1,2,0.16094302361363028,-0.3044727780286635,0.06473416519781129,0.04837284393867616
Gafsa,2017,2,5,0.17217141184300752,-0.3190128818756825,0.07238275490428722,0.06165341567229182
Gafsa,2017,3,11,0.18470597376600031,-0.32282408477142543,0.07708283076937408,0.06306095036518507
Gafsa,2017,4,11,0.14252355498927677,-0.2833640453512478,0.04407829020474045,0.03945207298980583
Gafsa,2017,5,15,0.12805546379751206,-0.2841394512074741,0.04794796574390735,0.04620982892300308
