governorate,year,month,precip_total_mm,precip_max_daily_mm,rain_days
Gabes,2007,4,36.35127829808121,17.600967600484992,7.839482568366312
Gabes,2007,5,5.4388347937418695,2.905341563570039,2.4144806564039816
Gabes,2007,6,3.0151882054334838,2.929839224240949,0.8859268647095457
Gabes,2007,7,0.0010111223848524383,0.0010111223848524383,0.002786002250652799
Gabes,2007,8,0.023084870149703517,0.023084870149703517,0.019502015754569592
Gabes,2007,9,7.912056393160682,4.972053596717077,2.015273847632991
Gabes,2007,10,16.46704762970554,8.565937123562103,3.2707120147712754
Gabes,2007,11,14.980014000028689,7.9817481845902885,2.6412066121120086
Gabes,2007,12,46.309746815827516,32.11981916273926,2.6463634476504723
Gabes,2008,1,23.93051040394381,12.833950427967714,2.5743644090943865
Gabes,2008,2,7.0431457258836065,3.5672256351669924,1.7207770214904567
Gabes,2008,3,16.596953901999562,5.897371945288799,4.65169509117329
Gabes,2008,4,7.017695113997812,3.861950066987807,2.4768324793234937
Gabes,2008,5,7.037104918562803,2.7432748508708134,4.359831310295099
Gabes,2008,6,0.9685659843304435,0.9685659843304435,0.5365731079767068
Gabes,2008,7,0.0,0.0,0.0
Gabes,2008,8,1.9843395185660218,1.958124584302182,0.8031662096166241
Gabes,2008,9,14.68907007192613,9.032846722021805,3.3623769515672635
Gabes,2008,10,11.520501409058056,6.182143725844478,2.7931038250172078
Gabes,2008,11,33.18683814191083,20.38381222313444,2.519551180500169
Gabes,2008,12,24.11274323682707,17.343648532137916,2.2548700411891325
Gabes,2009,1,127.6141854520223,26.051608653144033,9.83920943089076
Gabes,2009,2,8.705859224518411,6.010462786926827,1.8683914387789662
Gabes,2009,3,20.94958494455435,13.384827841243698,3.4912432125337323
Gabes,2009,4,14.036911435108712,9.098484711689284,1.9571174163379912
Gabes,2009,5,9.923908230086319,4.800932922661172,2.7967092396945237
Gabes,2009,6,2.4419056408161093,1.4344024381679614,2.497558150968546
Gabes,2009,7,0.23017289245621209,0.23017289245621209,0.47953107758196867
Gabes,2009,8,0.9686926213613368,0.9466516865186854,0.5507107037113923
Gabes,2009,9,34.961390120572936,16.607378041365624,3.6204263129718455
Gabes,2009,10,6.793900964801362,4.538275253083885,1.7487353734881839
Gabes,2009,11,12.44207407986437,8.706354769223674,1.8795682242786438
Gabes,2009,12,22.67572842836888,11.62371669647443,3.4233521616099813
Gabes,2010,1,32.25667881206717,17.356045530810054,3.0092101956756876
Gabes,2010,2,11.382214156861792,6.259416200461128,2.4357416775011207
Gabes,2010,3,18.61901439365892,10.146676063822829,4.327502758688504
Gabes,2010,4,21.479362865406486,6.792239624023709,5.476810628325451
Gabes,2010,5,8.048869651463999,4.00756530794071,3.3333697516634064
Gabes,2010,6,3.5860795766220357,2.186376596483325,2.3529700969091762
Gabes,2010,7,0.0006928216987884685,0.0006928216987884685,0.002786002250652799
Gabes,2010,8,0.005576923720587539,0.005576923720587539,0.004173540626468114
Gabes,2010,9,14.35202801187195,6.994958304766546,2.5705623354346714
Gabes,2010,10,32.07406423131848,14.221707369165856,4.725409433075858
Gabes,2010,11,42.4175012355907,24.477580966529995,2.8617268843754444
Gabes,2010,12,29.529840267896017,16.70256111867989,3.6992100864206985
Gabes,2011,1,25.39537583909221,12.853837196539539,3.6242502376296044
Gabes,2011,2,26.960141425462716,13.955352667868537,3.062646811393112
Gabes,2011,3,29.710572314494346,11.694240014992161,4.769089578166485
Gabes,2011,4,9.879825189781137,6.100248735778237,2.4087229184192998
Gabes,2011,5,9.23127917092511,3.884201269500966,3.230582656862853
Gabes,2011,6,1.821748583838476,1.7186761884417192,0.8587223721443479
Gabes,2011,7,0.0,0.0,0.0
Gabes,2011,8,0.4786215679655881,0.4423067186755779,0.34931005473675014
Gabes,2011,9,7.447108789450906,5.155421718672579,1.672082072348654
Gabes,2011,10,38.35895958492192,19.15988015365842,3.2639491308765556
Gabes,2011,11,16.040706892924412,9.76732064415623,2.3060450786089666
Gabes,2011,12,28.894737724461873,14.255908400191194,2.6415890045777846
Gabes,2012,1,43.69312921133957,38.913625512037,1.6868861235236923
Gabes,2012,2,16.76513510753413,13.160613957396873,1.888494356979755
Gabes,2012,3,68.13985595499145,28.01214580925365,6.508658457975067
Gabes,2012,4,12.766382159924223,6.428120767312605,3.1589660107725415
Gabes,2012,5,5.644746331154698,2.7204954848205456,3.1167171060538195
Gabes,2012,6,2.2305837787923766,1.8850368144497094,1.1599930076806262
