governorate,year,month,LST_Day_C_mean,LST_Day_C_max,LST_Day_C_std,LST_Night_C_mean,LST_Night_C_max,LST_Night_C_std,image_count
Gabes,2002,1,18.494937017215364,22.34472625040332,2.6548685338044833,5.03730406110066,7.139251659197359,1.3906210117760271,4
Gabes,2002,2,24.211591648340008,26.43653150329788,1.9637262587863875,8.760616252562405,10.5026273837146,1.3485221110414645,4
Gabes,2002,3,28.30750592121952,31.175907365455398,2.8734114481537842,11.098254129173128,12.019602406788954,0.7870991983999825,4
Gabes,2002,4,33.71887007901385,37.32859535446515,3.2821416068510123,14.198739685143426,15.540519979841864,1.3942713511488862,3
Gabes,2002,5,37.83899318724004,41.48938932128935,2.6310510251038854,17.765579157917177,19.318045372519695,1.334591582445495,4
Gabes,2002,6,45.33850430060642,47.56720848021118,2.033819006523997,22.739963965243145,25.422965856926155,2.1006000096546527,4
Gabes,2002,7,41.27592598609889,44.22130288317251,2.4476626413510574,23.228320468029192,24.877865769333173,1.332000669168907,4
Gabes,2002,8,41.13612356746268,43.903439600947486,2.0243962477071853,24.306961664123683,25.281958974475074,0.7801303677691727,4
Gabes,2002,9,37.481652855448345,40.01811931498672,2.048200765862144,20.54820808064805,23.925606582168886,2.6761779302395268,4
Gabes,2002,10,33.08328034471625,34.90142268251392,1.684882993403901,16.594493717590424,18.02836485829993,1.1207359106798631,3
Gabes,2002,11,24.68993873699335,27.68203350060687,2.7410097840128107,11.551765413428358,14.583688938989193,1.9602072537809756,4
Gabes,2002,12,19.48530305260944,21.507833166872754,1.9895753353102297,8.173862446364897,10.111274723532393,1.537261052911577,4
Gabes,2003,1,16.99363280192266,20.224424887807956,2.248729478918391,7.084317205315056,9.220209627068789,1.454463831059014,4
Gabes,2003,2,19.81680605507038,21.53653057988812,1.2877126140969564,5.968324669107893,8.847425716698787,1.812335411371474,4
Gabes,2003,3,25.915333498269394,27.793071574269803,1.6157696409345597,9.084888227499087,11.47455374266226,1.7960459681171808,4
Gabes,2003,4,34.0297959264565,39.68516419052046,4.085932884556296,15.41520768514974,17.69216744292619,1.6864426463461981,3
Gabes,2003,5,39.47103058184812,41.84819043060077,2.5258186387922628,18.186785363288433,19.888683696896813,1.688115624001399,4
Gabes,2003,6,45.80264053576927,49.88921788940756,3.7398304638520052,23.47983756482921,26.37054306943999,2.316318260967404,4
Gabes,2003,7,46.49030872373893,48.27071872635668,1.7821965024635307,26.174985072995057,27.41416047466734,1.4020613471595893,4
Gabes,2003,8,46.1296332539,49.118983983632894,2.399880318329567,26.419261132858132,27.15936516018769,0.5772069613719626,4
Gabes,2003,9,38.95361772319379,42.25127072499424,2.2958951684694444,22.424381119494832,24.246067938561872,1.4996767810762064,4
Gabes,2003,10,32.9812938204,35.163171515946836,2.167407712819493,17.109349465714285,18.67431011690229,1.3348118914499838,3
Gabes,2003,11,25.4673149685148,28.988064986264238,3.377393784720563,11.463474325362776,13.110414898431536,1.5211170994045695,4
Gabes,2003,12,16.13921357580682,19.76865283236316,2.633561190448668,6.654293501562319,10.710873641400761,3.3821881521632453,4
Gabes,2004,1,17.466300413487243,19.614349172568257,2.100863081630107,6.709411413431021,8.837675085230286,1.8420719819723834,4
Gabes,2004,2,21.873834892893825,24.502508263863458,1.8336286863548958,8.364755284814525,12.321956308782983,2.350222592359485,4
Gabes,2004,3,26.79791938517173,28.98952411297124,1.780067370717763,10.567631283523456,12.007772457040812,1.0826981259983706,4
Gabes,2004,4,34.90670146512899,37.31508930286499,1.9354824935881527,15.537283876032543,17.243454976590204,1.3000403179284703,4
Gabes,2004,5,37.82103985079101,39.54337887369286,1.2872947590893717,16.964189233943028,17.909672860335554,0.7399513120431451,3
Gabes,2004,6,44.59666972292025,48.438741571164265,3.2640128413854708,21.82261524436149,24.73098201136919,2.358116992855008,4
Gabes,2004,7,46.642646797096695,48.01900566633817,1.1046693977623858,25.19706847692704,26.106245320338154,0.8163383635629887,4
Gabes,2004,8,44.95681830258993,46.486879363056275,1.1542104261034316,25.603764266571027,27.063344611708406,1.1269819597252024,4
Gabes,2004,9,40.85598920264018,43.609717541169175,2.194221151356869,21.377854699306095,23.89365168463472,2.3147012253862305,4
Gabes,2004,10,34.719679369938426,38.679708938649306,3.970278681295444,18.18575474296465,20.875242972176938,2.6923875665453156,4
Gabes,2004,11,23.616987409250576,25.640194678285336,1.64186356460646,9.74651142494457,10.693114504109412,0.7631380713916096,3
Gabes,2004,12,17.98985903410473,21.802040095145983,3.576657977382073,7.287963469273428,10.095592709244908,2.3900023788420843,4
Gabes,2005,1,17.388974392368098,18.996407086907986,1.3535398775300036,4.583569826397534,6.141714392864648,1.568121170402634,4
Gabes,2005,2,20.472075313208023,22.785507838310807,1.7827815249720214,5.728975605432246,7.472085573073712,1.1540809400551781,4
Gabes,2005,3,29.58691492086321,34.226598838158935,4.088191961289334,10.757263292417262,13.381674564287803,2.6323952557019057,4
Gabes,2005,4,34.64009143062735,37.095655962809005,2.6023652173856426,12.913727648149564,14.513859495374007,1.6277211848629627,3
Gabes,2005,5,41.180367527949464,42.64495410610233,1.4348211246716014,18.3547320108248,19.942403064848996,1.2466044254585467,4
Gabes,2005,6,43.75270425757192,47.735653636862104,2.976559664470818,21.86310358870993,24.736030309616734,2.3187783567618476,4
Gabes,2005,7,44.24738658067931,46.31248079242478,1.683172556926566,24.697554477905513,26.598146782069534,1.2291136048904667,4
Gabes,2005,8,43.772605962351825,47.88133124753078,3.0704913320094773,24.542055740842432,26.344135904129125,1.1535714792075957,4
Gabes,2005,9,37.33606645544396,42.58195945360276,4.1072237491240235,20.768852203921995,23.05526007267922,1.920968847735095,4
Gabes,2005,10,33.51083176564216,34.528531299451025,0.8262494334343448,18.54997964752549,19.71502042399953,0.9922096521150296,3
Gabes,2005,11,25.779931125396907,30.25975181622069,4.3555177158162195,11.254135705105774,16.03346046668168,3.776231920675492,4
Gabes,2005,12,14.975948644482472,16.93945398174693,1.2586923141630217,5.845210376250266,7.108990155668587,0.9198073409747316,4
Gabes,2006,1,14.322437859681518,16.01111202048575,1.3566811861050407,4.13620842024781,6.3597014207006595,1.472338444826456,4
Gabes,2006,2,20.34587211908152,25.274918550473345,3.113800737465172,7.201098557724072,8.696941514627133,1.1719084314511927,4
Gabes,2006,3,30.231677730886055,35.06305162949136,3.7552181436312915,12.783549056938785,15.64008230977868,2.485545144732863,4
Gabes,2006,4,35.2649065940598,36.914777469151694,1.6497490110962452,15.393291653581374,16.207416360642046,0.6647125918645723,3
Gabes,2006,5,40.08600696520975,46.50601593143079,4.643652713201474,18.16473308886209,21.87509068797941,2.43328282797413,4
Gabes,2006,6,43.864089657419385,47.39111002557233,3.462737297668406,22.64237339813457,26.347766724931535,3.3431943898072345,4
Gabes,2006,7,47.34821974450269,49.4211636660931,1.9876668637340087,26.07348248723017,27.83570381459664,1.4186043081862547,4
Gabes,2006,8,43.89726689676402,45.660284658462594,1.3364387797507638,25.235655529416565,26.639668752904686,0.9695353986524137,4
Gabes,2006,9,40.73194583548737,42.11224673420015,0.9683202467268405,21.23159081494831,23.156522225643947,1.4244174814719033,4
Gabes,2006,10,35.46544208166739,36.38662100870309,0.8194806459663271,18.13812879451251,18.84582641856393,0.6117408006839113,3
Gabes,2006,11,25.891133046931213,27.574775787849237,1.272350520071989,12.366983896373684,13.33454645992156,0.837113104544215,4
Gabes,2006,12,17.9829547868993,19.321907254820587,1.1655709210786804,8.014213109020272,9.398200923496814,1.0393263102974997,4
Gabes,2007,1,19.70420834605553,21.542953207955744,1.525860075956338,7.871993577656531,9.645775418049803,1.1803241809584473,4
Gabes,2007,2,24.506010404039586,28.03367567586398,2.6916035516393415,10.06912608346373,12.173907991806056,1.8715918827027074,4
Gabes,2007,3,25.114292507009488,30.030143686033814,3.106358930603696,10.430840031320445,12.116244409995648,1.1671400116238624,4
Gabes,2007,4,30.14815500273897,32.041398551902,1.7537075617970905,13.898176967113072,14.67011313511097,0.6694804155190048,3
Gabes,2007,5,39.81844507171439,43.39039517579396,3.7187208374740175,19.110348668467886,20.87232220116485,1.768617699609677,4
Gabes,2007,6,43.940269219662156,47.91077017595758,2.7897659470859195,23.27240192365402,26.285901402493682,2.3035122493538953,4
Gabes,2007,7,47.43375778963589,50.05233627009546,2.057557032625019,25.370121685361998,26.94022564735594,1.3862410388070798,4
Gabes,2007,8,45.788265377057975,47.0971710080716,1.1937566070456513,26.037187808029934,26.980498210022446,0.8823132371137753,4
Gabes,2007,9,39.82019097157955,42.51905134898407,2.3474713688282827,22.20135936143609,24.36524715801056,1.554959131385038,4
Gabes,2007,10,32.33010003605082,36.87161159384422,3.3338603142476644,15.616976648326126,18.329512941758626,2.1874095155491875,3
Gabes,2007,11,26.36001233318194,30.219974688991737,2.4303637478018785,10.036503867456732,12.777231808710042,1.7631477512218952,4
Gabes,2007,12,19.714007143648423,22.990182791563303,2.6088467946212206,6.195976115195064,9.754134035531239,2.6137251502841625,4
Gabes,2008,1,17.787493334680708,20.561260432460553,2.4310446098050407,7.452561737415707,8.57123618424463,0.9812741321269234,4
Gabes,2008,2,24.432945354617694,29.52983680040283,3.1023190965672587,8.190224514146383,11.719306122946755,2.109893615289615,4
Gabes,2008,3,31.132614087921613,34.44372750441109,2.5445783834463875,10.867496461351724,13.197723782024791,1.8887129023186393,4
Gabes,2008,4,36.360698328584945,39.113122318246226,2.2194694739967176,15.690622691748041,17.504926813247813,1.5127025852250349,4
Gabes,2008,5,41.18814857226472,43.093566321505726,1.8172730435256976,19.989375908618438,22.340404867240245,1.863509627976575,3
Gabes,2008,6,44.0986112440812,46.43894424217008,1.9497978071984574,22.468787014246157,24.013834206144228,1.4657196306340712,4
Gabes,2008,7,46.72569926941727,49.76757264337778,2.4987352217933707,26.006147255970447,27.664172962476787,1.2610672103773548,4
Gabes,2008,8,46.16928848669267,50.023134919303786,2.4764114265366044,26.013016788197998,27.119710463146518,0.8120442030262064,4
Gabes,2008,9,40.71575052518922,46.95033977121212,4.1812990947896305,22.465913866346938,25.985109761616563,2.5321336816918576,4
Gabes,2008,10,33.15269471639776,36.270396377969035,2.401603069910417,16.35062565629372,18.752439400275275,2.6032437850828374,4
Gabes,2008,11,23.458291414743535,24.70734935245881,1.2213458725061623,9.803151350479482,10.861332292900281,1.1122010446042199,3
Gabes,2008,12,17.220008280197263,18.547126784587324,1.0335310506245177,5.626769960059645,7.456709041879698,1.2243679948814599,4
Gabes,2009,1,16.777816881613564,19.070867830888822,1.8840719359048983,7.149802166005527,8.479955584864594,1.011848665157081,4
Gabes,2009,2,21.22762915140529,23.584159259425302,1.7123104198102568,7.595222386383936,9.414790928283747,1.4866627183866623,4
Gabes,2009,3,28.30744681210954,30.016564441147565,1.518224062554655,10.084164935636458,12.367256741435293,1.4694225267495358,4
Gabes,2009,4,32.92752753568526,35.49468028463666,1.9014552701448957,14.078556267810297,15.944947494140473,1.3945780489933897,3
Gabes,2009,5,39.70120763694657,44.03257195735402,3.473499039138209,18.162387566520604,20.59058534592358,2.1685973884134357,4
Gabes,2009,6,46.16146956080125,48.28041803889548,1.9194303898028746,23.452250186097427,25.948542632998162,1.685870542789492,4
Gabes,2009,7,48.10512449043666,49.971618737202455,1.3238604260506635,26.25095090291615,27.09907550573014,0.5721759119600809,4
Gabes,2009,8,46.986877209159445,49.08869164170508,2.090820852402751,26.265046436182978,27.43676475136104,1.104449517632009,4
Gabes,2009,9,38.37812047360457,40.989078506811495,2.057464626087763,20.7000278024722,22.812153243324268,1.6299588334601425,4
Gabes,2009,10,33.46730947742102,37.2445189623489,2.7948002560657907,15.832442216850986,17.832404377074045,1.4961459977277538,3
Gabes,2009,11,26.13763579676107,29.623138543251624,2.5587320617514404,10.777622980821649,13.7847270344305,1.919548823693628,4
Gabes,2009,12,21.482289211046577,23.197244122954555,1.5588611665698813,8.875257277041909,11.306586607336131,1.5763774686088046,4
Gabes,2010,1,19.01311775346614,21.418105690337956,2.190876247608583,7.249077472331471,8.81438493291562,1.4432530782801622,4
Gabes,2010,2,25.316078866302515,31.17250798074255,4.003200009506556,10.73572422107991,13.99772762375754,2.8464261868546616,4
Gabes,2010,3,28.82684631341031,31.112715983132897,2.244686582081448,10.019868053320266,11.782748402653644,1.4726638164009285,4
Gabes,2010,4,33.9789765005297,36.54920917799549,2.1863024815540966,14.792007039692237,16.391449509307872,1.3812477648071937,3
Gabes,2010,5,39.80991130911167,42.26757210327039,1.68028804078409,17.310309766204536,18.639696185141958,0.989960530425538,4
Gabes,2010,6,42.84569228286482,44.54468880004203,1.3506344710847111,22.21291374235439,23.248024756962504,0.8058904224071985,4
Gabes,2010,7,46.74737855964641,47.766963776641006,0.8333469075147913,26.09651044345879,26.966495154930293,0.6566627621299175,4
Gabes,2010,8,44.575817489815286,47.39661145663948,2.2502097330006543,25.64029337858624,27.599896382106895,1.3772045628028349,4
Gabes,2010,9,39.1699372103183,41.941845273122205,2.2255551677781713,21.49524489594722,23.628709865979253,1.7050723479456171,4
Gabes,2010,10,29.024498557317507,32.53014572450416,3.2470212230851017,15.349447975328685,18.324073925955553,2.347277360635761,3
Gabes,2010,11,23.710941273175706,24.694094337625543,0.9165167940885818,11.314767870627342,13.469149191210686,1.9378635938653215,4
Gabes,2010,12,18.02612351954995,20.740221439743703,2.4201220874857925,6.239413190559095,9.306373386809799,2.679363345988353,4
Gabes,2011,1,18.53063026849876,19.90040358666265,1.0958114177300946,6.700994441828618,8.412308088676905,1.2947761713926291,4
Gabes,2011,2,20.677284321766468,22.505007245717152,1.4738326621369944,6.631385091318104,7.614770168988303,0.7332478767278527,4
Gabes,2011,3,30.090297152805572,33.84555846903907,2.9283423894438,12.076737622571434,14.381279493030666,1.5368291697272982,4
Gabes,2011,4,34.609270343724695,36.108346992101815,1.3520129118132012,15.528275912785384,17.17442524062013,1.3715090679192017,3
Gabes,2011,5,40.33467867955905,42.839085846176395,1.918311488738089,17.52678014587837,20.53444471933784,2.5595885203568356,4
Gabes,2011,6,44.842468450531655,47.775591088922106,3.3515983382589267,22.809321354851072,24.543637201911867,1.5413556467912872,4
Gabes,2011,7,45.419675369222446,47.65319423966567,2.0137960820109067,25.13976181256612,26.432359808331576,0.8411622825825694,4
Gabes,2011,8,45.797429588921354,47.982103627475425,1.8881292713763052,25.737433219402583,26.49436407779468,0.559508939033498,4
Gabes,2011,9,39.089909919641435,44.129772928328094,4.263434312040281,22.069962311526805,24.62445569136168,2.6489507337106906,4
Gabes,2011,10,30.857030080651583,34.25035721145956,2.4921602096114372,15.35875337657966,16.85033217486064,1.3890671574896858,3
Gabes,2011,11,25.707884845148055,28.21403591018356,2.5071510419568726,12.302431853162739,13.617270579513589,0.9094998745151454,4
Gabes,2011,12,19.199702938664288,21.8266256083288,2.0709465718323403,7.354228975405792,9.287301535517118,1.317787662978182,4
Gabes,2012,1,17.07826753748839,18.549165019846736,1.1787493500482524,6.038117648929231,7.274752589358397,0.9956971674644225,4
Gabes,2012,2,19.547914093714724,25.075973215020756,4.115271693618117,5.49074309217677,8.159350115578711,2.3983939240632894,4
Gabes,2012,3,26.343822320874068,30.253655482810476,2.947128974596675,10.58452145308677,14.275580199656853,2.840788579089819,4
Gabes,2012,4,34.395176482322974,37.50219958368147,2.6199158426895273,15.328013773323464,17.647908093729562,1.9710919638566025,4
Gabes,2012,5,41.52275290645371,44.200167193779556,2.1121399760610884,18.771527281892766,20.628001941773707,1.367777266400593,3
Gabes,2012,6,46.06381952523693,48.89511778918311,2.0682288083094753,24.13156770792728,25.959224915161798,1.3663138130965058,4
Gabes,2012,7,47.678665130699265,48.398835671839365,0.5620612368196926,26.923540097977046,27.76387120786778,0.6686272460819778,4
Gabes,2012,8,46.913398764024755,48.21900320100834,1.1481583223653076,26.425859130365907,27.427394102983662,1.1261337332072687,4
Gabes,2012,9,43.18054384475524,44.88878349483556,1.2537802281494814,23.122164687942007,24.96749597423859,1.662851845017152,4
Gabes,2012,10,35.441414604856845,41.22838077495858,3.571983133204218,18.80577722494181,21.811180840642617,2.7994036918906704,4
Gabes,2012,11,26.729338286932784,29.142887506484417,2.397004081638922,11.640244903932674,14.593378468612116,2.3557405487759135,3
Gabes,2012,12,20.957334956850218,22.18879431440964,0.9594882486986047,6.887730878196027,8.247341276979792,1.0326027374482982,4
Gabes,2013,1,19.773495924583518,20.9132120283696,0.8880503296633591,6.868399345511598,8.600419424010115,1.1393624374296696,4
Gabes,2013,2,22.30249243667917,24.12567832936013,1.4344475172881286,6.907870405982312,8.633317340632315,1.292972555976593,4
Gabes,2013,3,31.5751449775006,36.07795754406119,2.977903686789328,13.285573099129824,15.035519951529666,1.9072783088432512,4
Gabes,2013,4,35.56265653209987,37.510400742386636,1.726543767262896,15.02390863790247,17.019689825810968,1.5582156776076241,3
Gabes,2013,5,39.21483975357152,43.78284577010824,2.7798400667403054,17.882198278421694,19.242028430564943,0.9859467915544868,4
Gabes,2013,6,43.05274100448685,46.07748085558279,2.078450452882153,21.311056452564834,22.847515766567152,1.3736147765334634,4
Gabes,2013,7,45.97229548761915,47.01421334422849,0.8079360551152496,25.369566027931427,26.176951828939238,0.6926654134081384,4
Gabes,2013,8,43.2031989721406,48.79380551946341,5.429667487659145,25.04414264458446,26.399605621300157,1.6791309584114038,4
Gabes,2013,9,40.27696032474396,42.06067145387806,1.378362522227619,23.327318200448783,24.812463735479717,1.2417918776962638,4
Gabes,2013,10,37.004021807859054,38.65764534446892,1.8299312169933062,19.126885504602,21.326428538760773,1.7324265981519729,3
Gabes,2013,11,25.694313771566694,31.693032163840705,4.5130147954828,10.418581596967375,16.157855960282856,4.273262901131875,4
Gabes,2013,12,19.15888994393772,20.626266898506366,1.3706660713766106,7.1146165751750585,8.385947477153227,0.9223157560708545,4
Gabes,2014,1,18.953362627634867,20.61390816603438,1.1616311722600647,6.569595097914083,7.190972768560887,0.5014180153927186,4
Gabes,2014,2,23.72851799494656,27.452564744304826,2.3548590045687727,9.100311028633412,10.620265240724596,1.103847273622844,4
Gabes,2014,3,27.222271616171557,29.315894089263146,1.9369418134135759,10.961235086606685,12.68192207293282,1.8142070766288678,4
Gabes,2014,4,36.50596755405484,39.16409504760571,2.1435523545743225,15.256714091595008,17.051250044101568,1.3413549181328488,3
Gabes,2014,5,38.84873582163208,42.12375840379053,2.8104565507575305,18.77299724704844,20.09534064453124,1.2087303379936716,4
Gabes,2014,6,41.397701877178605,42.725847809885735,1.0523635293839022,21.8670893037361,23.25865720113653,0.9949616780417827,4
Gabes,2014,7,43.29281649758519,45.7580950449923,1.9264506618761394,24.291086905484228,25.26817611775039,0.7993296042933407,4
Gabes,2014,8,44.36389408839214,45.51602519601759,0.9469641174573646,25.704458078288567,26.35447339730704,0.5047641947277897,4
Gabes,2014,9,40.03971033247541,43.604218070169786,3.1510165774978294,23.15286385209651,26.02192771792793,2.6554400421121964,4
Gabes,2014,10,35.55867246353092,37.872967533873194,2.230981794024751,18.36111731266883,19.95414116146645,1.628029218481414,3
Gabes,2014,11,26.709098634529585,28.741149083189164,1.5098863466934875,12.730696102819104,13.894630864794943,0.9431421612217994,4
Gabes,2014,12,19.25726658242737,21.57246132241846,2.1840566314090317,7.280200589704526,8.861977991488072,1.5365731529100972,4
Gabes,2015,1,17.248942357601468,18.94412148674189,1.2905330177785372,5.510254240388794,6.703698155663368,0.8302136687932783,4
Gabes,2015,2,19.294938405959627,22.221475883108496,2.3292612696129775,6.772400828919947,10.038573571578835,2.152772008268672,4
Gabes,2015,3,26.741322873685917,31.221129134055122,2.8005150705554427,11.17481325781116,14.697111500414449,2.5284921692210127,4
Gabes,2015,4,32.96555291115783,34.64656502916802,1.3214956417188772,13.62365687373262,15.879399674803024,1.9285784250916858,3
Gabes,2015,5,41.74904318421283,45.128312181298554,2.8154141739290166,19.370146290745975,22.37575648379519,1.9580358722539137,4
Gabes,2015,6,44.44050815192179,47.083386348084545,1.8572558815338316,21.941667174832386,23.918073998220166,1.837323074052515,4
Gabes,2015,7,48.81712629457012,51.474224651641556,2.0868649802242913,26.814843839223887,29.0935328783943,1.9833732349605229,4
Gabes,2015,8,45.54441875279579,47.384620162824966,1.30109528762336,25.95104359234254,27.76993973444986,1.3431482068072818,4
