governorate,year,month,tws_anomaly_cm,is_interpolated,extraction_weight,tws_weighted_cm,tws_estimated_Mm3
Gabes,2002,1,,True,0.16917478115471626,,
Gabes,2002,2,,True,0.16917478115471626,,
Gabes,2002,3,,True,0.16917478115471626,,
Gabes,2002,4,-1.6218227147737463,False,0.16917478115471626,-0.27437150284359635,-117.89194734183647
Gabes,2002,5,-1.5430247815135019,False,0.16917478115471626,-0.26104087972885054,-112.1640452018925
Gabes,2002,6,-1.314265982078972,True,0.16917478115471626,-0.22234065989729832,-95.53533474467115
Gabes,2002,7,-1.085507182644442,True,0.16917478115471626,-0.1836404400657461,-78.90662428744979
Gabes,2002,8,-0.8567483832099121,False,0.16917478115471626,-0.14494022023419387,-62.277913830228414
Gabes,2002,9,-0.8269453527837511,False,0.16917478115471626,-0.13989829908410073,-60.11150115045641
Gabes,2002,10,-0.3369243664848531,False,0.16917478115471626,-0.05699910596576644,-24.49137585137052
Gabes,2002,11,0.13201937746077086,False,0.16917478115471626,0.022334349290107792,9.596623202973516
Gabes,2002,12,-0.4283288905337693,False,0.16917478115471626,-0.07246244631829285,-31.135663934044068
Gabes,2003,1,-0.1636630564795395,False,0.16917478115471626,-0.027687661763038062,-11.896834506342195
Gabes,2003,2,-0.02927991526924368,False,0.16917478115471626,-0.0049534232579029345,-2.128386905455733
Gabes,2003,3,-0.2121108340726143,False,0.16917478115471626,-0.03588380393477886,-15.41855287469578
Gabes,2003,4,-0.2521925747456162,False,0.16917478115471626,-0.042664623641434044,-18.332135486251378
Gabes,2003,5,-0.6087120298414731,False,0.16917478115471626,-0.10297872443467433,-44.247898315090865
Gabes,2003,6,-0.15602848715800038,True,0.16917478115471626,-0.026396085168856172,-11.34186987535412
Gabes,2003,7,0.29665505552547233,False,0.16917478115471626,0.05018655409696198,21.564158564382627
Gabes,2003,8,0.49873370955531626,False,0.16917478115471626,0.08437316616850045,36.253462039281274
Gabes,2003,9,0.4975961794502058,False,0.16917478115471626,0.08418072476191149,36.170773815698126
Gabes,2003,10,-0.05403535603588714,False,0.16917478115471626,-0.009141419531988383,-3.9278851445047684
Gabes,2003,11,0.510910555358844,False,0.16917478115471626,0.08643318139246699,37.138609380715216
Gabes,2003,12,1.7293658384633592,False,0.16917478115471626,0.2925650872584812,125.7093666932242
Gabes,2004,1,1.773062164771357,False,0.16917478115471626,0.2999574036989018,128.88569722134412
Gabes,2004,2,1.2675038257380145,False,0.16917478115471626,0.21442968233199422,92.13614590441128
Gabes,2004,3,0.19953651577940715,False,0.16917478115471626,0.033756546389355796,14.504512852578397
Gabes,2004,4,1.4522043079618816,False,0.16917478115471626,0.2456763459913875,105.56221234557938
Gabes,2004,5,0.7637059094738943,False,0.16917478115471626,0.1291997801018096,55.514561514145555
