governorate,year,month,NDVI_mean,NDVI_max,NDVI_std,image_count,LST_Day_C_mean,LST_Day_C_max,LST_Day_C_std,LST_Night_C_mean,LST_Night_C_max,LST_Night_C_std,ETa_mean,ETa_max,ETa_std,PET_mean,PET_max,PET_std,precip_total_mm,precip_max_daily_mm,rain_days,tws_anomaly_cm,tws_weighted_cm,tws_estimated_Mm3,temp_2m_K_mean,temp_2m_K_max,temp_2m_K_std,precip_m_mean,precip_m_max,precip_m_std,dewpoint_2m_K_mean,dewpoint_2m_K_max,dewpoint_2m_K_std,solar_rad_Jm2_mean,solar_rad_Jm2_max,solar_rad_Jm2_std,wind_u_ms_mean,wind_u_ms_max,wind_u_ms_std,wind_v_ms_mean,wind_v_ms_max,wind_v_ms_std,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std,elevation_mean_m,elevation_std_m,elevation_min_m,elevation_max_m,clay_pct,sand_pct,soc_g_kg
Gabes,2002,1,0.1120400852183746,0.1152305919175213,0.0031905066991474,2,18.494937017215364,22.34472625040332,2.6548685338044837,5.03730406110066,7.139251659197359,1.3906210117760271,,,,,,,18.9982141515358,15.129464524726028,2.2331610746320845,,,,282.7553372801393,282.7553372801393,0,0.0019328100443122,0.0019328100443122,0,275.8065348064273,275.8065348064273,0,384823902.5253238,384823902.5253238,0,0.9569914752960752,0.9569914752960752,0,0.2560519008508852,0.2560519008508852,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,2,0.1124892730369964,0.1153878055475318,0.0028985325105358,2,24.211591648340008,26.43653150329788,1.9637262587863875,8.760616252562405,10.5026273837146,1.3485221110414645,,,,,,,16.80608696267023,15.295596589940937,1.2359361513837148,,,,285.9999308516964,285.9999308516964,0,0.0051869218278335,0.0051869218278335,0,275.5519097207936,275.5519097207936,0,457830965.8296748,457830965.8296748,0,1.0484408415857915,1.0484408415857915,0,-0.031620117527501,-0.031620117527501,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,3,0.1092436448015953,0.1131876433947812,0.0039439985931857,2,28.30750592121952,31.1759073654554,2.873411448153784,11.098254129173128,12.019602406788954,0.7870991983999825,,,,,,,17.400478441016965,6.888505889628361,3.30963956778726,,,,289.8663399790592,289.8663399790592,0,0.005167886433147,0.005167886433147,0,276.69318541679775,276.69318541679775,0,613986594.9318309,613986594.9318309,0,-0.9534249582894662,-0.9534249582894662,0,-0.4186337485946901,-0.4186337485946901,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,4,0.1081671603659,0.1108512248734973,0.0026840645075971,2,33.71887007901385,37.32859535446515,3.2821416068510123,14.198739685143426,15.540519979841864,1.3942713511488862,,,,,,,6.927477101654684,5.74180530476765,1.6243704181188474,-1.6218227147737465,-0.2743715028435963,-117.89194734183648,291.81244890673645,291.81244890673645,0,0.0159195113470123,0.0159195113470123,0,279.28485198609906,279.28485198609906,0,733842363.4935217,733842363.4935217,0,-0.436475102939365,-0.436475102939365,0,0.0167514520650274,0.0167514520650274,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,5,0.1035574865223803,0.1061349373219457,0.0025774507995655,2,37.83899318724004,41.48938932128935,2.631051025103885,17.765579157917177,19.31804537251969,1.334591582445495,,,,,,,13.28919491743372,7.313206043539215,2.96996580318806,-1.543024781513502,-0.2610408797288505,-112.1640452018925,295.1729842780791,295.1729842780791,0,0.0118689406854206,0.0118689406854206,0,283.1020552449284,283.1020552449284,0,828335927.9060564,828335927.9060564,0,-3.070400548875492,-3.070400548875492,0,-0.7120253824920304,-0.7120253824920304,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,6,0.1030779983730676,0.105739641422391,0.0026616430493234,2,45.33850430060642,47.56720848021118,2.033819006523997,22.739963965243145,25.422965856926155,2.1006000096546527,,,,,,,3.195229443998614,2.1409776032353243,1.8078750996951785,-1.314265982078972,-0.2223406598972983,-95.53533474467116,299.5414192235969,299.5414192235969,0,0.0004190187904438,0.0004190187904438,0,285.0410524033976,285.0410524033976,0,850572573.5136521,850572573.5136521,0,-3.480721918086561,-3.480721918086561,0,0.001108966531411,0.001108966531411,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,7,0.1027165328942645,0.105542363227851,0.0028258303335863,2,41.27592598609889,44.22130288317251,2.4476626413510574,23.228320468029192,24.877865769333173,1.332000669168907,,,,,,,0.2095951863802168,0.2095951863802168,0.2696631668651466,-1.085507182644442,-0.1836404400657461,-78.90662428744979,301.9280310064113,301.9280310064113,0,0.0004580035137979,0.0004580035137979,0,288.0911131088051,288.0911131088051,0,852600305.2503835,852600305.2503835,0,-4.340639174019505,-4.340639174019505,0,-0.6121017882088442,-0.6121017882088442,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,8,0.1030100683391114,0.1054757416163873,0.0024656732772758,2,41.13612356746268,43.903439600947486,2.0243962477071853,24.306961664123683,25.281958974475074,0.7801303677691727,,,,,,,2.272396995893416,2.0038572114036404,1.20360759977712,-0.8567483832099121,-0.1449402202341938,-62.277913830228414,301.96603572855184,301.96603572855184,0,0.0022040885776558,0.0022040885776558,0,290.51378755831314,290.51378755831314,0,763024491.0448655,763024491.0448655,0,-3.830042812515235,-3.830042812515235,0,-0.7771721114384144,-0.7771721114384144,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,9,0.1061989095104901,0.1089297597038492,0.0027308501933593,2,37.481652855448345,40.01811931498672,2.048200765862144,20.54820808064805,23.92560658216889,2.6761779302395268,,,,,,,10.341456521346538,7.397224497597919,1.7421254465797735,-0.8269453527837511,-0.1398982990841007,-60.11150115045641,299.3607805447059,299.3607805447059,0,0.0171766656985775,0.0171766656985775,0,288.48365074087934,288.48365074087934,0,607210313.7276075,607210313.7276075,0,-1.998353416072096,-1.998353416072096,0,-0.4927523386027262,-0.4927523386027262,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
Gabes,2002,10,0.1067595030308988,0.1067595030308988,0.0,1,33.08328034471625,34.90142268251392,1.684882993403901,16.594493717590424,18.02836485829993,1.1207359106798631,,,,,,,14.757125735034135,7.99867820717084,2.555496072283102,-0.3369243664848531,-0.0569991059657664,-24.49137585137052,294.325596990576,294.325596990576,0,0.0208233942553784,0.0208233942553784,0,284.882642397733,284.882642397733,0,531176960.6702505,531176960.6702505,0,0.3636910123312099,0.3636910123312099,0,0.7729438511342596,0.7729438511342596,0,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304
