governorate,year,month,NDVI_mean,NDVI_max,NDVI_std,LST_Day_C_mean,LST_Day_C_max,LST_Day_C_std,LST_Night_C_mean,LST_Night_C_max,LST_Night_C_std,precip_total_mm,precip_max_daily_mm,rain_days,tws_anomaly_cm,tws_weighted_cm,tws_estimated_Mm3,temp_2m_K_mean,temp_2m_K_max,precip_m_mean,precip_m_max,dewpoint_2m_K_mean,dewpoint_2m_K_max,solar_rad_Jm2_mean,solar_rad_Jm2_max,wind_u_ms_mean,wind_u_ms_max,wind_v_ms_mean,wind_v_ms_max,S2_NDVI_mean,S2_NDWI_mean,S2_NDVI_std,S2_NDWI_std,elevation_mean_m,elevation_std_m,elevation_min_m,elevation_max_m,clay_pct,sand_pct,soc_g_kg,LST_mean_C,days,GDD_18,heat_stress_flag,DTR,temp_2m_C,dewpoint_2m_C,VPD_kPa,wind_speed_ms,wind_speed_max_ms,sirocco_risk,precip_era5_mm,solar_MJ_m2,ET0_proxy,water_deficit_proxy
Gabes,2002,1,0.1120400852183746,0.1152305919175213,0.0031905066991474,18.494937017215364,22.34472625040332,2.654868533804484,5.03730406110066,7.139251659197359,1.3906210117760271,18.9982141515358,15.129464524726028,2.2331610746320845,,,,282.7553372801393,282.7553372801393,0.0019328100443122,0.0019328100443122,275.8065348064273,275.8065348064273,384823902.5253238,384823902.5253238,0.9569914752960752,0.9569914752960752,0.2560519008508852,0.2560519008508852,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,11.766120539158011,31,0.0,0,13.457632956114704,9.605337280139338,2.6565348064273167,0.4563700305127769,0.9906539555862632,0.9906539555862632,0,1.9328100443122,384.82390252532383,88.98347593028213,-87.05066588596992
Gabes,2002,2,0.1124892730369964,0.1153878055475318,0.0028985325105358,24.211591648340008,26.43653150329788,1.9637262587863875,8.760616252562405,10.5026273837146,1.3485221110414645,16.80608696267023,15.295596589940937,1.2359361513837148,,,,285.9999308516964,285.9999308516964,0.0051869218278335,0.0051869218278335,275.5519097207936,275.5519097207936,457830965.8296748,457830965.8296748,1.0484408415857915,1.0484408415857915,-0.031620117527501,-0.031620117527501,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,16.486103950451206,28,0.0,0,15.450975395777602,12.8499308516964,2.4019097207936397,0.7569336866104072,1.0489175516395823,1.0489175516395823,0,5.1869218278335,457.83096582967477,126.86459833929149,-121.67767651145799
Gabes,2002,3,0.1092436448015953,0.1131876433947812,0.0039439985931857,28.30750592121952,31.1759073654554,2.873411448153784,11.098254129173128,12.019602406788954,0.7870991983999825,17.400478441016965,6.888505889628361,3.30963956778726,,,,289.8663399790592,289.8663399790592,0.005167886433147,0.005167886433147,276.69318541679775,276.69318541679775,613986594.9318309,613986594.9318309,-0.9534249582894662,-0.9534249582894662,-0.4186337485946901,-0.4186337485946901,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,19.702880025196322,31,52.78928078108598,0,17.20925179204639,16.716339979059228,3.543185416797769,1.115688987857828,1.0412844791658582,1.0412844791658582,0,5.167886433147,613.9865949318308,202.2052642359145,-197.0373778027675
Gabes,2002,4,0.1081671603659,0.1108512248734973,0.0026840645075971,33.71887007901385,37.32859535446515,3.2821416068510123,14.198739685143426,15.540519979841864,1.3942713511488862,6.927477101654684,5.74180530476765,1.6243704181188474,-1.6218227147737465,-0.2743715028435963,-117.89194734183648,291.81244890673645,291.81244890673645,0.0159195113470123,0.0159195113470123,279.28485198609906,279.28485198609906,733842363.4935217,733842363.4935217,-0.436475102939365,-0.436475102939365,0.0167514520650274,0.0167514520650274,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,23.95880488207864,30,178.76414646235915,0,19.52013039387042,18.662448906736472,6.134851986099079,1.2076674438254393,0.4367964361487124,0.4367964361487124,0,15.919511347012302,733.8423634935217,271.90538330819976,-255.98587196118746
Gabes,2002,5,0.1035574865223803,0.1061349373219457,0.0025774507995655,37.83899318724004,41.48938932128935,2.631051025103885,17.765579157917177,19.31804537251969,1.334591582445495,13.28919491743372,7.313206043539215,2.96996580318806,-1.543024781513502,-0.2610408797288505,-112.1640452018925,295.1729842780791,295.1729842780791,0.0118689406854206,0.0118689406854206,283.1020552449284,283.1020552449284,828335927.9060564,828335927.9060564,-3.070400548875492,-3.070400548875492,-0.7120253824920304,-0.7120253824920304,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,27.80228617257861,31,303.870871349937,0,20.073414029322866,22.02298427807915,9.952055244928431,1.4236144212081079,3.151878753354552,3.151878753354552,0,11.8689406854206,828.3359279060564,339.9215967888834,-328.05265610346277
Gabes,2002,6,0.1030779983730676,0.105739641422391,0.0026616430493234,45.33850430060642,47.56720848021118,2.033819006523997,22.739963965243145,25.422965856926155,2.1006000096546527,3.195229443998614,2.1409776032353243,1.8078750996951785,-1.314265982078972,-0.2223406598972983,-95.53533474467116,299.5414192235969,299.5414192235969,0.0004190187904438,0.0004190187904438,285.0410524033976,285.0410524033976,850572573.5136521,850572573.5136521,-3.480721918086561,-3.480721918086561,0.001108966531411,0.001108966531411,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,34.03923413292478,30,481.1770239877435,1,22.59854033536327,26.391419223596927,11.891052403397623,2.047486653354293,3.4807220947462834,3.4807220947462834,0,0.41901879044379997,850.5725735136521,410.9768456180065,-410.55782682756274
Gabes,2002,7,0.1027165328942645,0.105542363227851,0.0028258303335863,41.27592598609889,44.22130288317251,2.4476626413510574,23.228320468029192,24.877865769333173,1.332000669168907,0.2095951863802168,0.2095951863802168,0.2696631668651466,-1.085507182644442,-0.1836404400657461,-78.90662428744979,301.9280310064113,301.9280310064113,0.0004580035137979,0.0004580035137979,288.0911131088051,288.0911131088051,852600305.2503835,852600305.2503835,-4.340639174019505,-4.340639174019505,-0.6121017882088442,-0.6121017882088442,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,32.25212322706404,31,441.81582003898524,0,18.047605518069698,28.77803100641131,14.941113108805098,2.2556891373927206,4.383584952771098,4.383584952771098,0,0.4580035137979,852.6003052503835,388.0290498222176,-387.5710463084197
Gabes,2002,8,0.1030100683391114,0.1054757416163873,0.0024656732772758,41.13612356746268,43.903439600947486,2.0243962477071853,24.306961664123683,25.281958974475074,0.7801303677691727,2.272396995893416,2.0038572114036404,1.20360759977712,-0.8567483832099121,-0.1449402202341938,-62.277913830228414,301.96603572855184,301.96603572855184,0.0022040885776558,0.0022040885776558,290.51378755831314,290.51378755831314,763024491.0448655,763024491.0448655,-3.830042812515235,-3.830042812515235,-0.7771721114384144,-0.7771721114384144,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,32.72154261579318,31,456.3678210895887,0,16.829161903339,28.816035728551867,17.363787558313163,1.980433714781016,3.9080972910736564,3.9080972910736564,0,2.2040885776557997,763.0244910448655,335.60845701155546,-333.40436843389966
Gabes,2002,9,0.1061989095104901,0.1089297597038492,0.0027308501933593,37.481652855448345,40.01811931498672,2.048200765862144,20.54820808064805,23.92560658216889,2.6761779302395268,10.341456521346538,7.397224497597919,1.7421254465797735,-0.8269453527837511,-0.1398982990841007,-60.11150115045641,299.3607805447059,299.3607805447059,0.0171766656985775,0.0171766656985775,288.48365074087934,288.48365074087934,607210313.7276075,607210313.7276075,-1.998353416072096,-1.998353416072096,-0.4927523386027262,-0.4927523386027262,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,29.0149304680482,30,330.447914041446,0,16.933444774800297,26.210780544705926,15.333650740879364,1.6612265087261835,2.0582082602898746,2.0582082602898746,0,17.176665698577498,607.2103137276075,252.92904514906178,-235.75237945048428
Gabes,2002,10,0.1067595030308988,0.1067595030308988,0.0,33.08328034471625,34.90142268251392,1.684882993403901,16.594493717590424,18.02836485829993,1.1207359106798631,14.757125735034135,7.99867820717084,2.555496072283102,-0.3369243664848531,-0.0569991059657664,-24.49137585137052,294.325596990576,294.325596990576,0.0208233942553784,0.0208233942553784,284.882642397733,284.882642397733,531176960.6702505,531176960.6702505,0.3636910123312099,0.3636910123312099,0.7729438511342596,0.7729438511342596,,,,,146.43103634761323,123.10224778058692,-34,694,197.9071184520691,523.5692819257692,92.85298446411304,24.838887031153337,31,212.00549796575345,0,16.488786627125826,21.175596990576025,11.732642397733002,1.1359287915069025,0.8542326085187575,0.8542326085187575,0,20.8233942553784,531.1769606702504,193.3544584596476,-172.5310642042692
